27, Private, 160178, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
23, Private, 46645, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
51, Federal-gov, 198186, Bachelors, 13, Widowed, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
30, Private, 190040, Bachelors, 13, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Self-emp-not-inc, 189346, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 2202, 0, 50, United-States, <=50K
51, Private, 108435, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 47, United-States, >50K
58, Self-emp-not-inc, 93664, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 60, United-States, >50K
22, Private, 148431, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Other, Female, 0, 0, 40, United-States, <=50K
50, Private, 313321, Assoc-acdm, 12, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 71417, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3103, 0, 40, United-States, >50K
43, Self-emp-not-inc, 241895, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 42, United-States, <=50K
33, Private, 199046, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 152529, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
46, Private, 116952, 7th-8th, 4, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 45, United-States, <=50K
33, Private, 226629, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 35, United-States, <=50K
45, Private, 161819, 11th, 7, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 25, United-States, <=50K
43, Private, 99212, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3103, 0, 48, United-States, >50K
52, Self-emp-inc, 179951, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Federal-gov, 115433, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Wife, White, Female, 7688, 0, 33, United-States, >50K
24, Private, 215712, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
40, Private, 439919, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
31, State-gov, 93589, HS-grad, 9, Divorced, Protective-serv, Own-child, Other, Male, 0, 0, 40, United-States, <=50K
